annotation_id,location_id,source_id,image_path,request_location,pano_id,image_date,copyright,metadata_status,latitude,longitude,location_method,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,damage_labels,is_undamaged,confidence,confidence_notes,annotator,split
times_square_001_h0_ann001,times_square_001,times_square_001_h0,data/streetview/images/times_square_001_h0.jpg,"40.755931,-73.986397",CAoSFkNJSE0wb2dLRUlDQWdJQ0U3LWVPSmc.,2018-02,© Threshold 360,OK,40.75593435897981,-73.98640204811171,streetview_metadata,,,,,,,,,,
times_square_001_h45_ann001,times_square_001,times_square_001_h45,data/streetview/images/times_square_001_h45.jpg,"40.755931,-73.986397",CAoSFkNJSE0wb2dLRUlDQWdJQ0U3LWVPSmc.,2018-02,© Threshold 360,OK,40.75593435897981,-73.98640204811171,streetview_metadata,,,,,,,,,,
times_square_001_h90_ann001,times_square_001,times_square_001_h90,data/streetview/images/times_square_001_h90.jpg,"40.755931,-73.986397",CAoSFkNJSE0wb2dLRUlDQWdJQ0U3LWVPSmc.,2018-02,© Threshold 360,OK,40.75593435897981,-73.98640204811171,streetview_metadata,,,,,,,,,,
times_square_001_h135_ann001,times_square_001,times_square_001_h135,data/streetview/images/times_square_001_h135.jpg,"40.755931,-73.986397",CAoSFkNJSE0wb2dLRUlDQWdJQ0U3LWVPSmc.,2018-02,© Threshold 360,OK,40.75593435897981,-73.98640204811171,streetview_metadata,,,,,,,,,,
times_square_001_h180_ann001,times_square_001,times_square_001_h180,data/streetview/images/times_square_001_h180.jpg,"40.755931,-73.986397",CAoSFkNJSE0wb2dLRUlDQWdJQ0U3LWVPSmc.,2018-02,© Threshold 360,OK,40.75593435897981,-73.98640204811171,streetview_metadata,,,,,,,,,,
times_square_001_h225_ann001,times_square_001,times_square_001_h225,data/streetview/images/times_square_001_h225.jpg,"40.755931,-73.986397",CAoSFkNJSE0wb2dLRUlDQWdJQ0U3LWVPSmc.,2018-02,© Threshold 360,OK,40.75593435897981,-73.98640204811171,streetview_metadata,,,,,,,,,,
times_square_001_h270_ann001,times_square_001,times_square_001_h270,data/streetview/images/times_square_001_h270.jpg,"40.755931,-73.986397",CAoSFkNJSE0wb2dLRUlDQWdJQ0U3LWVPSmc.,2018-02,© Threshold 360,OK,40.75593435897981,-73.98640204811171,streetview_metadata,,,,,,,,,,
times_square_001_h315_ann001,times_square_001,times_square_001_h315,data/streetview/images/times_square_001_h315.jpg,"40.755931,-73.986397",CAoSFkNJSE0wb2dLRUlDQWdJQ0U3LWVPSmc.,2018-02,© Threshold 360,OK,40.75593435897981,-73.98640204811171,streetview_metadata,,,,,,,,,,
times_square_002_h0_ann001,times_square_002,times_square_002_h0,data/streetview/images/times_square_002_h0.jpg,"40.756523,-73.986276",CAoSF0NJSE0wb2dLRUlDQWdJQ2MtdGY1Z2dF,2020-02,© Rock Bentley,OK,40.75654423762055,-73.98625919965698,streetview_metadata,,,,,,,,,,
times_square_002_h45_ann001,times_square_002,times_square_002_h45,data/streetview/images/times_square_002_h45.jpg,"40.756523,-73.986276",CAoSF0NJSE0wb2dLRUlDQWdJQ2MtdGY1Z2dF,2020-02,© Rock Bentley,OK,40.75654423762055,-73.98625919965698,streetview_metadata,,,,,,,,,,
times_square_002_h90_ann001,times_square_002,times_square_002_h90,data/streetview/images/times_square_002_h90.jpg,"40.756523,-73.986276",CAoSF0NJSE0wb2dLRUlDQWdJQ2MtdGY1Z2dF,2020-02,© Rock Bentley,OK,40.75654423762055,-73.98625919965698,streetview_metadata,,,,,,,,,,
times_square_002_h135_ann001,times_square_002,times_square_002_h135,data/streetview/images/times_square_002_h135.jpg,"40.756523,-73.986276",CAoSF0NJSE0wb2dLRUlDQWdJQ2MtdGY1Z2dF,2020-02,© Rock Bentley,OK,40.75654423762055,-73.98625919965698,streetview_metadata,,,,,,,,,,
times_square_002_h180_ann001,times_square_002,times_square_002_h180,data/streetview/images/times_square_002_h180.jpg,"40.756523,-73.986276",CAoSF0NJSE0wb2dLRUlDQWdJQ2MtdGY1Z2dF,2020-02,© Rock Bentley,OK,40.75654423762055,-73.98625919965698,streetview_metadata,,,,,,,,,,
times_square_002_h225_ann001,times_square_002,times_square_002_h225,data/streetview/images/times_square_002_h225.jpg,"40.756523,-73.986276",CAoSF0NJSE0wb2dLRUlDQWdJQ2MtdGY1Z2dF,2020-02,© Rock Bentley,OK,40.75654423762055,-73.98625919965698,streetview_metadata,,,,,,,,,,
times_square_002_h270_ann001,times_square_002,times_square_002_h270,data/streetview/images/times_square_002_h270.jpg,"40.756523,-73.986276",CAoSF0NJSE0wb2dLRUlDQWdJQ2MtdGY1Z2dF,2020-02,© Rock Bentley,OK,40.75654423762055,-73.98625919965698,streetview_metadata,,,,,,,,,,
times_square_002_h315_ann001,times_square_002,times_square_002_h315,data/streetview/images/times_square_002_h315.jpg,"40.756523,-73.986276",CAoSF0NJSE0wb2dLRUlDQWdJQ2MtdGY1Z2dF,2020-02,© Rock Bentley,OK,40.75654423762055,-73.98625919965698,streetview_metadata,,,,,,,,,,
times_square_003_h0_ann001,times_square_003,times_square_003_h0,data/streetview/images/times_square_003_h0.jpg,"40.757061,-73.985972",CAoSFkNJSE0wb2dLRUlDQWdJQzZnLWFmQVE.,2014-04,© Martijn Baudoin,OK,40.75705824753121,-73.98596830140805,streetview_metadata,,,,,,,,,,
times_square_003_h45_ann001,times_square_003,times_square_003_h45,data/streetview/images/times_square_003_h45.jpg,"40.757061,-73.985972",CAoSFkNJSE0wb2dLRUlDQWdJQzZnLWFmQVE.,2014-04,© Martijn Baudoin,OK,40.75705824753121,-73.98596830140805,streetview_metadata,,,,,,,,,,
times_square_003_h90_ann001,times_square_003,times_square_003_h90,data/streetview/images/times_square_003_h90.jpg,"40.757061,-73.985972",CAoSFkNJSE0wb2dLRUlDQWdJQzZnLWFmQVE.,2014-04,© Martijn Baudoin,OK,40.75705824753121,-73.98596830140805,streetview_metadata,,,,,,,,,,
times_square_003_h135_ann001,times_square_003,times_square_003_h135,data/streetview/images/times_square_003_h135.jpg,"40.757061,-73.985972",CAoSFkNJSE0wb2dLRUlDQWdJQzZnLWFmQVE.,2014-04,© Martijn Baudoin,OK,40.75705824753121,-73.98596830140805,streetview_metadata,,,,,,,,,,
times_square_003_h180_ann001,times_square_003,times_square_003_h180,data/streetview/images/times_square_003_h180.jpg,"40.757061,-73.985972",CAoSFkNJSE0wb2dLRUlDQWdJQzZnLWFmQVE.,2014-04,© Martijn Baudoin,OK,40.75705824753121,-73.98596830140805,streetview_metadata,,,,,,,,,,
times_square_003_h225_ann001,times_square_003,times_square_003_h225,data/streetview/images/times_square_003_h225.jpg,"40.757061,-73.985972",CAoSFkNJSE0wb2dLRUlDQWdJQzZnLWFmQVE.,2014-04,© Martijn Baudoin,OK,40.75705824753121,-73.98596830140805,streetview_metadata,,,,,,,,,,
times_square_003_h270_ann001,times_square_003,times_square_003_h270,data/streetview/images/times_square_003_h270.jpg,"40.757061,-73.985972",CAoSFkNJSE0wb2dLRUlDQWdJQzZnLWFmQVE.,2014-04,© Martijn Baudoin,OK,40.75705824753121,-73.98596830140805,streetview_metadata,,,,,,,,,,
times_square_003_h315_ann001,times_square_003,times_square_003_h315,data/streetview/images/times_square_003_h315.jpg,"40.757061,-73.985972",CAoSFkNJSE0wb2dLRUlDQWdJQzZnLWFmQVE.,2014-04,© Martijn Baudoin,OK,40.75705824753121,-73.98596830140805,streetview_metadata,,,,,,,,,,
times_square_004_h0_ann001,times_square_004,times_square_004_h0,data/streetview/images/times_square_004_h0.jpg,"40.757642,-73.985677",CAoSFkNJSE0wb2dLRUlDQWdJQ0ttWV9LTGc.,2021-03,© Navaneet Pandurangan,OK,40.75762500660343,-73.98566673164221,streetview_metadata,,,,,,,,,,
times_square_004_h45_ann001,times_square_004,times_square_004_h45,data/streetview/images/times_square_004_h45.jpg,"40.757642,-73.985677",CAoSFkNJSE0wb2dLRUlDQWdJQ0ttWV9LTGc.,2021-03,© Navaneet Pandurangan,OK,40.75762500660343,-73.98566673164221,streetview_metadata,,,,,,,,,,
times_square_004_h90_ann001,times_square_004,times_square_004_h90,data/streetview/images/times_square_004_h90.jpg,"40.757642,-73.985677",CAoSFkNJSE0wb2dLRUlDQWdJQ0ttWV9LTGc.,2021-03,© Navaneet Pandurangan,OK,40.75762500660343,-73.98566673164221,streetview_metadata,,,,,,,,,,
times_square_004_h135_ann001,times_square_004,times_square_004_h135,data/streetview/images/times_square_004_h135.jpg,"40.757642,-73.985677",CAoSFkNJSE0wb2dLRUlDQWdJQ0ttWV9LTGc.,2021-03,© Navaneet Pandurangan,OK,40.75762500660343,-73.98566673164221,streetview_metadata,,,,,,,,,,
times_square_004_h180_ann001,times_square_004,times_square_004_h180,data/streetview/images/times_square_004_h180.jpg,"40.757642,-73.985677",CAoSFkNJSE0wb2dLRUlDQWdJQ0ttWV9LTGc.,2021-03,© Navaneet Pandurangan,OK,40.75762500660343,-73.98566673164221,streetview_metadata,,,,,,,,,,
times_square_004_h225_ann001,times_square_004,times_square_004_h225,data/streetview/images/times_square_004_h225.jpg,"40.757642,-73.985677",CAoSFkNJSE0wb2dLRUlDQWdJQ0ttWV9LTGc.,2021-03,© Navaneet Pandurangan,OK,40.75762500660343,-73.98566673164221,streetview_metadata,,,,,,,,,,
